timestamp,user_id,session_id,fsr_front_left,fsr_front_right,fsr_back_left,fsr_back_right,total_pressure,lr_balance,fb_balance,tilt_x,tilt_y,tilt_z,head_distance_cm,posture_score,posture_class,alert_status,break_flag,exercise_recommendation,exercise_completed
4/16/2026 8:00,user_001,session_1_1,2155,1891,1891,2163,8100,-0.1,0.1,-0.07,0.6,9.46,71.1,95,good,0,1,none,0
4/16/2026 8:00,user_001,session_1_1,1909,2015,1692,1720,7336,-1.83,-6.98,0.27,-0.55,9.01,60.5,92,good,0,1,none,0
4/16/2026 8:00,user_001,session_1_1,1503,1933,1680,1725,6841,-6.94,-0.45,0.16,-1.2,8.84,53.5,88,good,0,1,none,0
4/16/2026 8:00,user_001,session_1_1,1710,1561,1608,1563,6442,3.01,-1.55,0.06,-0.62,8.74,79.7,93,good,0,1,none,1
4/16/2026 8:00,user_001,session_1_1,1699,1910,1585,1681,6875,-4.47,-4.99,-0.53,0.02,9.53,66.4,96,good,0,1,none,0
4/16/2026 8:00,user_001,session_1_1,1775,1594,1708,1749,6826,2.05,1.29,0.09,0.93,9.15,73.2,91,good,0,1,none,0
4/16/2026 8:01,user_001,session_1_1,1594,1545,1738,1804,6681,-0.25,6.03,-0.88,0.47,9.33,72.2,94,good,0,1,none,0
4/16/2026 8:01,user_001,session_1_1,2010,1786,1830,1695,7321,4.9,-3.7,-0.15,-0.94,9.33,55.1,89,good,0,1,none,1
4/16/2026 8:01,user_001,session_1_1,2044,1941,1790,1945,7720,-0.67,-3.24,0.68,1.05,9.17,77,90,good,0,1,none,0
4/16/2026 8:01,user_001,session_1_1,2062,1945,1887,1950,7844,0.69,-2.17,0.78,0.04,8.15,48.7,98,good,0,1,none,1
4/16/2026 8:01,user_001,session_1_1,1744,1692,1738,1956,7130,-2.33,3.62,0.18,-0.17,9.79,67.2,96,good,0,1,none,0
4/16/2026 8:01,user_001,session_1_1,2055,1795,1851,1848,7549,3.48,-2,0.26,-0.53,9.24,52.8,94,good,0,1,none,0
4/16/2026 8:02,user_001,session_1_1,1577,1390,1539,1558,6064,2.77,2.14,0.13,0.47,9.2,58.1,94,good,0,0,none,0
4/16/2026 8:02,user_001,session_1_1,2025,2026,1976,1707,7734,3.47,-4.76,0.2,-0.07,9.95,64.2,96,good,0,0,none,0
4/16/2026 8:02,user_001,session_1_1,1737,1675,1505,1860,6777,-4.32,-0.69,1.23,0.21,9.12,70.4,96,good,0,0,none,0
4/16/2026 8:02,user_001,session_1_1,1759,2045,2285,1816,7905,2.31,3.76,-0.45,1.1,9.76,59.8,89,good,0,0,none,0
4/16/2026 8:02,user_001,session_1_1,1839,1656,1887,1686,7068,5.43,1.1,-0.25,0.28,8.58,76.7,95,good,0,0,none,0
4/16/2026 8:02,user_001,session_1_1,1603,1808,1970,1542,6923,3.22,1.46,-0.16,-0.77,9.53,65.8,92,good,0,0,none,0
4/16/2026 8:03,user_001,session_1_1,1558,1820,1786,1789,6953,-3.81,2.83,0.39,0.49,8.71,67,94,good,0,0,none,0
4/16/2026 8:03,user_001,session_1_1,1587,1958,1750,1510,6805,-1.93,-4.19,0.12,-0.63,9.32,69.5,93,good,0,0,none,0
4/16/2026 8:03,user_001,session_1_1,1603,1854,1771,1844,7072,-4.58,2.23,0.39,-0.98,9.66,79.3,90,good,0,0,none,0
4/16/2026 8:03,user_001,session_1_1,1885,1978,2041,2043,7947,-1.2,2.78,-0.38,-0.09,8.84,70.7,98,good,0,0,none,0
4/16/2026 8:03,user_001,session_1_1,2198,1865,1643,1623,7329,4.82,-10.87,0.73,0.23,9.09,67.9,93,good,0,0,none,0
4/16/2026 8:03,user_001,session_1_1,1660,1524,1424,1597,6205,-0.6,-2.63,0.36,-0.04,9.39,70.9,98,good,0,0,none,0
4/16/2026 8:04,user_001,session_1_1,1724,1514,1670,1669,6577,3.21,1.54,-0.62,0.49,9.27,54.9,94,good,0,0,none,0
4/16/2026 8:04,user_001,session_1_1,1972,1587,1653,1885,7097,2.16,-0.3,0.28,0.67,9.63,68.1,93,good,0,0,none,0
4/16/2026 8:04,user_001,session_1_1,1841,1792,1746,1616,6995,2.56,-3.87,1.93,0.87,9.43,70,91,good,0,0,none,0
4/16/2026 8:04,user_001,session_1_1,1817,2130,1502,1900,7349,-9.67,-7.42,-0.12,-0.66,9.01,51,89,good,0,0,none,0
4/16/2026 8:04,user_001,session_1_1,1637,1668,1877,1682,6864,2.39,3.7,0.54,-0.29,9.23,65.6,95,good,0,0,none,0
4/16/2026 8:04,user_001,session_1_1,2028,1605,1936,1825,7394,7.22,1.73,-0.33,0.34,10.06,70.6,94,good,0,0,none,0
4/16/2026 8:05,user_001,session_1_1,1889,1554,1684,1680,6807,4.98,-1.16,-0.06,-0.66,9.4,58.5,92,good,0,0,none,0
4/16/2026 8:05,user_001,session_1_1,1785,1940,1776,1411,6912,3.04,-7.78,0.2,2.42,8.7,59.8,77,neutral,0,0,none,0
4/16/2026 8:05,user_001,session_1_1,2115,1833,1964,1504,7416,10.01,-6.47,-0.35,1.83,9.38,55.5,80,good,0,0,none,0
4/16/2026 8:05,user_001,session_1_1,1647,1768,1854,2069,7338,-4.58,6.92,-0.62,0.02,9.85,52.1,96,good,0,0,none,0
4/16/2026 8:05,user_001,session_1_1,1971,1903,1783,1903,7560,-0.69,-2.49,0.01,1.73,8.81,60.5,85,good,0,0,none,0
4/16/2026 8:05,user_001,session_1_1,1506,1982,1370,1659,6517,-11.74,-7.04,0.33,0.48,9.83,68.2,90,good,0,0,none,0
4/16/2026 8:06,user_001,session_1_1,1749,1704,1920,1866,7239,1.37,4.6,-0.31,0.69,9.12,58,92,good,0,0,none,0
4/16/2026 8:06,user_001,session_1_1,1765,1515,1555,1772,6607,0.5,0.71,0.15,1.44,9.53,68.3,88,good,0,0,none,0
4/16/2026 8:06,user_001,session_1_1,1824,1964,1851,1870,7509,-2.12,-0.89,0.06,0.34,9.71,72.2,96,good,0,0,none,0
4/16/2026 8:06,user_001,session_1_1,1785,1852,1703,1820,7160,-2.57,-1.59,0.41,1.37,9.72,62.3,87,good,0,0,none,0
4/16/2026 8:06,user_001,session_1_1,2268,1770,1738,2116,7892,1.52,-2.33,0.3,0.51,8.87,69.7,94,good,0,0,none,0
4/16/2026 8:06,user_001,session_1_1,1815,1927,1814,2085,7641,-5.01,2.05,0.31,1.15,9.2,62.1,88,good,0,0,none,0
4/16/2026 8:07,user_001,session_1_1,1735,1661,1821,1845,7062,0.71,3.82,-0.16,-0.58,9.37,59.2,93,good,0,0,none,0
4/16/2026 8:07,user_001,session_1_1,1719,1787,1862,1965,7333,-2.33,4.38,0.12,-0.15,8.62,75,96,good,0,0,none,0
4/16/2026 8:07,user_001,session_1_1,1584,1695,1654,1770,6703,-3.39,2.16,-0.08,1.46,9.19,56.5,86,good,0,0,none,0
4/16/2026 8:07,user_001,session_1_1,2057,2063,1899,2018,8037,-1.56,-2.53,0.77,1.06,9.16,63.2,90,good,0,0,none,0
4/16/2026 8:07,user_001,session_1_1,1748,1852,1778,1983,7361,-4.2,2.19,-0.39,0.56,9.21,56.9,93,good,0,0,none,0
4/16/2026 8:07,user_001,session_1_1,1540,1497,1533,1330,5900,4.17,-2.95,0.09,1.5,10.08,58.8,85,good,0,0,none,0
4/16/2026 8:08,user_001,session_1_1,2259,2080,1851,1829,8019,2.51,-8.22,0.08,-0.44,9.34,66.9,93,good,0,0,none,0
4/16/2026 8:08,user_001,session_1_1,1686,1459,1919,1726,6790,6.19,7.36,0.92,-1.11,9.67,72.9,87,good,0,0,none,0
4/16/2026 8:08,user_001,session_1_1,2043,1927,2088,1862,7920,4.32,-0.25,-0.3,-1.43,9.2,61.8,87,good,0,0,none,0
4/16/2026 8:08,user_001,session_1_1,1621,1517,1939,1826,6903,3.14,9.08,0.26,0.64,9.48,56.9,91,good,0,0,none,0
4/16/2026 8:08,user_001,session_1_1,1693,1949,1903,1631,7176,0.22,-1.51,0.06,2.37,9.67,70.6,80,neutral,0,0,none,0
4/16/2026 8:08,user_001,session_1_1,1866,1877,1455,1570,6768,-1.86,-10.61,0.68,1.29,8.81,46.5,85,good,0,0,none,0
4/16/2026 8:09,user_001,session_1_1,1707,1895,1443,1425,6470,-2.63,-11.34,0.36,0.2,9.8,62.3,94,good,0,0,none,0
4/16/2026 8:09,user_001,session_1_1,1826,1598,1894,1879,7197,3.38,4.85,-0.02,1,8.37,55.2,89,good,0,0,none,0
4/16/2026 8:09,user_001,session_1_1,1931,1594,1817,1693,7035,6.55,-0.21,-0.53,-0.07,9.17,56.3,97,good,0,0,none,0
4/16/2026 8:09,user_001,session_1_1,1699,2126,1837,1758,7420,-4.69,-3.1,-0.52,0.43,8.98,64.3,94,good,0,0,none,0
4/16/2026 8:09,user_001,session_1_1,2086,1845,1838,1915,7684,2.13,-2.32,-0.11,0.43,9.45,44.2,94,good,0,0,neck_stretch,0
4/16/2026 8:09,user_001,session_1_1,1797,1872,1832,2280,7781,-6.72,5.69,0.68,-1.24,9.86,71.5,86,good,0,0,none,0
4/16/2026 8:10,user_001,session_1_1,1763,1569,1469,1619,6420,0.69,-3.8,-0.48,0.43,8.56,53.8,95,good,0,0,none,0
