_id,session_id,timestamp_device,fsr1_adc,fsr2_adc,fsr3_adc,fsr4_adc,fsr1_force_g,fsr2_force_g,fsr3_force_g,fsr4_force_g,fsr1_pressure_pa,fsr2_pressure_pa,fsr3_pressure_pa,fsr4_pressure_pa,fsr1_pressure_kpa,fsr2_pressure_kpa,fsr3_pressure_kpa,fsr4_pressure_kpa,distance_cm,accel_x,accel_y,accel_z,total_force_g,total_pressure_pa,total_pressure_kpa,seat_balance_lr,seat_balance_fb,is_occupied,posture_score,posture_status,bad_posture_type,createdAt,updatedAt,__v,recorded_at_utc,recorded_at_sl,timezone,average_pressure_pa,average_pressure_kpa,front_pressure_adc,back_pressure_adc,left_pressure_adc,right_pressure_adc,total_adc,active_fsr_count,accel_deviation,bad_posture_types[0],bad_posture_types[1],bad_posture_types[2],posture_severity,posture_confidence,posture_reason,created_at_sl,updated_at_sl
69e9fb401b66e13fc094cd05,session_1776941887989,997214,3260,3708,3853,3115,1000,1000,1000,1000,77414.69,77414.69,77414.69,77414.69,77.41469,77.41469,77.41469,77.41469,161.0556,-9.845877,0.274586,-0.862985,4000,309658.76,309.65876,0,0,TRUE,90,good_posture,none,2026-04-23T10:58:08.197Z,2026-04-23T10:58:08.197Z,0,,,,,,,,,,,,,,,,,,,,
69e9fb451b66e13fc094cd07,session_1776941887989,1002381,3234,3708,3857,3119,1000,1000,1000,1000,77414.69,77414.69,77414.69,77414.69,77.41469,77.41469,77.41469,77.41469,172.872,-9.845877,0.313813,-0.862985,4000,309658.76,309.65876,0,0,TRUE,90,good_posture,none,2026-04-23T10:58:13.548Z,2026-04-23T10:58:13.548Z,0,,,,,,,,,,,,,,,,,,,,
69e9fb4a1b66e13fc094cd09,session_1776941887989,1007542,3219,3717,3858,3099,1000,1000,1000,1000,77414.69,77414.69,77414.69,77414.69,77.41469,77.41469,77.41469,77.41469,172.8377,-9.92433,0.313813,-0.862985,4000,309658.76,309.65876,0,0,TRUE,90,good_posture,none,2026-04-23T10:58:18.200Z,2026-04-23T10:58:18.200Z,0,,,,,,,,,,,,,,,,,,,,
69e9fb4f1b66e13fc094cd0b,session_1776941887989,1012699,2409,3777,3708,3101,1000,1000,1000,1000,77414.69,77414.69,77414.69,77414.69,77.41469,77.41469,77.41469,77.41469,71.56695,-9.845877,-0.039227,-1.059118,4000,309658.76,309.65876,0,0,TRUE,90,good_posture,none,2026-04-23T10:58:23.271Z,2026-04-23T10:58:23.271Z,0,,,,,,,,,,,,,,,,,,,,
69e9fb541b66e13fc094cd0d,session_1776941887989,1017856,2690,3675,3756,3118,1000,1000,1000,1000,77414.69,77414.69,77414.69,77414.69,77.41469,77.41469,77.41469,77.41469,72.59595,-9.885103,-0.353039,-0.980665,4000,309658.76,309.65876,0,0,TRUE,90,good_posture,none,2026-04-23T10:58:28.412Z,2026-04-23T10:58:28.412Z,0,,,,,,,,,,,,,,,,,,,,
69e9fb591b66e13fc094cd0f,session_1776941887989,1023017,2546,3643,3790,3144,1000,1000,1000,1000,77414.69,77414.69,77414.69,77414.69,77.41469,77.41469,77.41469,77.41469,73.86505,-9.92433,-0.274586,-1.059118,4000,309658.76,309.65876,0,0,TRUE,90,good_posture,none,2026-04-23T10:58:33.730Z,2026-04-23T10:58:33.730Z,0,,,,,,,,,,,,,,,,,,,,
69e9fb5e1b66e13fc094cd11,session_1776941887989,1028172,2628,3677,3794,3140,1000,1000,1000,1000,77414.69,77414.69,77414.69,77414.69,77.41469,77.41469,77.41469,77.41469,71.2411,-9.885103,-0.11768,-1.098345,4000,309658.76,309.65876,0,0,TRUE,90,good_posture,none,2026-04-23T10:58:38.712Z,2026-04-23T10:58:38.712Z,0,,,,,,,,,,,,,,,,,,,,
69e9fb631b66e13fc094cd13,session_1776941887989,1033329,2529,3646,3792,3145,1000,1000,1000,1000,77414.69,77414.69,77414.69,77414.69,77.41469,77.41469,77.41469,77.41469,79.8847,-9.885103,-0.274586,-1.019892,4000,309658.76,309.65876,0,0,TRUE,90,good_posture,none,2026-04-23T10:58:43.913Z,2026-04-23T10:58:43.913Z,0,,,,,,,,,,,,,,,,,,,,
69e9fb691b66e13fc094cd15,session_1776941887989,1038487,2525,3653,3793,3134,1000,1000,1000,1000,77414.69,77414.69,77414.69,77414.69,77.41469,77.41469,77.41469,77.41469,72.18435,-9.92433,-0.274586,-1.019892,4000,309658.76,309.65876,0,0,TRUE,90,good_posture,none,2026-04-23T10:58:49.078Z,2026-04-23T10:58:49.078Z,0,,,,,,,,,,,,,,,,,,,,
69e9fb6e1b66e13fc094cd17,session_1776941887989,1043650,2503,3605,3812,3148,1000,1000,1000,1000,77414.69,77414.69,77414.69,77414.69,77.41469,77.41469,77.41469,77.41469,82.8002,-9.885103,-0.431493,-1.019892,4000,309658.76,309.65876,0,0,TRUE,90,good_posture,none,2026-04-23T10:58:54.465Z,2026-04-23T10:58:54.465Z,0,,,,,,,,,,,,,,,,,,,,
69e9fb731b66e13fc094cd19,session_1776941887989,1048805,2580,3625,3810,3150,1000,1000,1000,1000,77414.69,77414.69,77414.69,77414.69,77.41469,77.41469,77.41469,77.41469,80.00475,-9.845877,-0.509946,-1.059118,4000,309658.76,309.65876,0,0,TRUE,90,good_posture,none,2026-04-23T10:58:59.388Z,2026-04-23T10:58:59.388Z,0,,,,,,,,,,,,,,,,,,,,
69e9fb781b66e13fc094cd1b,session_1776941887989,1053968,2657,3676,3774,3093,1000,1000,1000,1000,77414.69,77414.69,77414.69,77414.69,77.41469,77.41469,77.41469,77.41469,173.6609,-9.845877,-0.509946,-0.941438,4000,309658.76,309.65876,0,0,TRUE,90,good_posture,none,2026-04-23T10:59:04.517Z,2026-04-23T10:59:04.517Z,0,,,,,,,,,,,,,,,,,,,,
69e9fb7d1b66e13fc094cd1d,session_1776941887989,1059125,2719,3674,3841,3049,1000,1000,1000,1000,77414.69,77414.69,77414.69,77414.69,77.41469,77.41469,77.41469,77.41469,76.06025,-9.885103,-0.353039,-0.980665,4000,309658.76,309.65876,0,0,TRUE,90,good_posture,none,2026-04-23T10:59:09.666Z,2026-04-23T10:59:09.666Z,0,,,,,,,,,,,,,,,,,,,,
69e9fb831b66e13fc094cd1f,session_1776941887989,1064287,2302,3637,3832,3098,1000,1000,1000,1000,77414.69,77414.69,77414.69,77414.69,77.41469,77.41469,77.41469,77.41469,85.80145,-9.885103,-0.431493,-1.137571,4000,309658.76,309.65876,0,0,TRUE,90,good_posture,none,2026-04-23T10:59:15.136Z,2026-04-23T10:59:15.136Z,0,,,,,,,,,,,,,,,,,,,,
69e9fb881b66e13fc094cd21,session_1776941887989,1069442,2444,3650,3851,3116,1000,1000,1000,1000,77414.69,77414.69,77414.69,77414.69,77.41469,77.41469,77.41469,77.41469,74.72255,-9.80665,-0.392266,-0.980665,4000,309658.76,309.65876,0,0,TRUE,90,good_posture,none,2026-04-23T10:59:20.041Z,2026-04-23T10:59:20.041Z,0,,,,,,,,,,,,,,,,,,,,
69e9fb8d1b66e13fc094cd23,session_1776941887989,1074599,2494,3646,3834,3154,1000,1000,1000,1000,77414.69,77414.69,77414.69,77414.69,77.41469,77.41469,77.41469,77.41469,75.64865,-9.845877,-0.470719,-1.059118,4000,309658.76,309.65876,0,0,TRUE,90,good_posture,none,2026-04-23T10:59:25.202Z,2026-04-23T10:59:25.202Z,0,,,,,,,,,,,,,,,,,,,,
69e9fb921b66e13fc094cd25,session_1776941887989,1079756,2519,3668,3862,3141,1000,1000,1000,1000,77414.69,77414.69,77414.69,77414.69,77.41469,77.41469,77.41469,77.41469,76.0431,-9.845877,-0.470719,-1.059118,4000,309658.76,309.65876,0,0,TRUE,90,good_posture,none,2026-04-23T10:59:30.303Z,2026-04-23T10:59:30.303Z,0,,,,,,,,,,,,,,,,,,,,
69e9fb971b66e13fc094cd27,session_1776941887989,1084917,2725,3731,3809,3054,1000,1000,1000,1000,77414.69,77414.69,77414.69,77414.69,77.41469,77.41469,77.41469,77.41469,80.4678,-9.845877,-0.509946,-1.176798,4000,309658.76,309.65876,0,0,TRUE,90,good_posture,none,2026-04-23T10:59:35.582Z,2026-04-23T10:59:35.582Z,0,,,,,,,,,,,,,,,,,,,,
69e9fb9c1b66e13fc094cd29,session_1776941887989,1090073,3357,3379,3695,3151,1000,1000,1000,1000,77414.69,77414.69,77414.69,77414.69,77.41469,77.41469,77.41469,77.41469,81.1881,-9.80665,-1.294478,-1.176798,4000,309658.76,309.65876,0,0,TRUE,90,good_posture,none,2026-04-23T10:59:40.637Z,2026-04-23T10:59:40.637Z,0,,,,,,,,,,,,,,,,,,,,
69e9fba11b66e13fc094cd2b,session_1776941887989,1095231,3180,3495,3794,3089,1000,1000,1000,1000,77414.69,77414.69,77414.69,77414.69,77.41469,77.41469,77.41469,77.41469,83.349,-9.80665,-1.333704,-1.098345,4000,309658.76,309.65876,0,0,TRUE,90,good_posture,none,2026-04-23T10:59:45.784Z,2026-04-23T10:59:45.784Z,0,,,,,,,,,,,,,,,,,,,,
69e9fba61b66e13fc094cd2d,session_1776941887989,1100389,3247,3548,3833,3106,1000,1000,1000,1000,77414.69,77414.69,77414.69,77414.69,77.41469,77.41469,77.41469,77.41469,84.18935,-9.767424,-1.255251,-1.176798,4000,309658.76,309.65876,0,0,TRUE,90,good_posture,none,2026-04-23T10:59:50.934Z,2026-04-23T10:59:50.934Z,0,,,,,,,,,,,,,,,,,,,,
